Node Number	X Location (m)	Y Location (m)	Z Location (m)	Vector Deformation ()
1090	0,55467	1,5	2,2233	4,3289e-002	1,9372e-005	-8,2884e-002
1100	0,55467	1,4037	2,2233	4,3288e-002	1,9256e-005	-8,2885e-002
1101	0,55467	1,4371	2,2233	4,3289e-002	1,9298e-005	-8,2884e-002
1102	0,55467	1,4716	2,2233	4,3289e-002	1,9343e-005	-8,2884e-002
1106	0,55467	1,375	2,2233	4,3288e-002	1,923e-005	-8,2885e-002
1110	0,58369	1,375	2,2156	4,3459e-002	1,8994e-005	-8,2205e-002
1120	0,46695	1,404	2,2431	4,2848e-002	1,82e-005	-8,4939e-002
1121	0,46695	1,4366	2,2431	4,2848e-002	1,8167e-005	-8,494e-002
1122	0,46694	1,4715	2,2431	4,2848e-002	1,8132e-005	-8,494e-002
1147	0,49628	1,4714	2,237	4,2983e-002	1,7918e-005	-8,4255e-002
1148	0,49628	1,4366	2,237	4,2983e-002	1,7954e-005	-8,4255e-002
1149	0,49628	1,404	2,237	4,2982e-002	1,7985e-005	-8,4255e-002
1153	0,49628	1,375	2,237	4,2982e-002	1,8003e-005	-8,4255e-002
1157	0,49628	1,5	2,237	4,2983e-002	1,7894e-005	-8,4256e-002
1161	0,46694	1,5	2,2431	4,2849e-002	1,8114e-005	-8,4941e-002
1165	0,43775	1,5	2,2492	4,2715e-002	1,8323e-005	-8,5622e-002
1175	0,43775	1,4039	2,2492	4,2714e-002	1,8408e-005	-8,5621e-002
1176	0,43775	1,4366	2,2492	4,2715e-002	1,8378e-005	-8,5621e-002
1177	0,43775	1,4716	2,2492	4,2715e-002	1,8346e-005	-8,5621e-002
1181	0,43775	1,375	2,2492	4,2714e-002	1,843e-005	-8,5621e-002
1185	0,46696	1,375	2,2431	4,2848e-002	1,8218e-005	-8,4939e-002
1195	0,3498	1,4038	2,2644	4,2383e-002	1,7962e-005	-8,7671e-002
1196	0,34982	1,4372	2,2644	4,2383e-002	1,7894e-005	-8,7672e-002
1197	0,34983	1,4713	2,2644	4,2383e-002	1,7824e-005	-8,7672e-002
1222	0,37912	1,471	2,2598	4,248e-002	1,7657e-005	-8,6992e-002
1223	0,37912	1,4372	2,2598	4,248e-002	1,7731e-005	-8,6991e-002
1224	0,37912	1,4041	2,2598	4,248e-002	1,7802e-005	-8,6991e-002
1228	0,37912	1,375	2,2598	4,248e-002	1,7834e-005	-8,699e-002
1232	0,37912	1,5	2,2598	4,248e-002	1,7625e-005	-8,6993e-002
1236	0,34985	1,5	2,2643	4,2383e-002	1,7809e-005	-8,7672e-002
1240	0,32047	1,5	2,2689	4,2286e-002	1,7958e-005	-8,8355e-002
1250	0,32047	1,4036	2,2689	4,2286e-002	1,8125e-005	-8,8352e-002
1251	0,32047	1,4371	2,2689	4,2286e-002	1,8057e-005	-8,8353e-002
1252	0,32047	1,4715	2,2689	4,2286e-002	1,7988e-005	-8,8354e-002
1256	0,32047	1,375	2,2689	4,2286e-002	1,8155e-005	-8,8352e-002
1260	0,34979	1,375	2,2644	4,2383e-002	1,7978e-005	-8,7671e-002
1270	0,23241	1,4038	2,2794	4,2055e-002	1,7419e-005	-9,0389e-002
